date,Open,High,Low,Close,Volume
2018-01-02,1053.02,1075.98,1053.02,1073.21,1555809.0
2018-01-03,1073.93,1096.1,1073.43,1091.52,1550593.0
2018-01-04,1097.09,1104.08,1094.26,1095.76,1289293.0
2018-01-05,1103.45,1113.58,1101.8,1110.29,1493389.0
2018-01-08,1111.0,1119.16,1110.0,1114.21,1148958.0
2018-01-09,1118.44,1118.44,1108.2,1112.79,1335995.0
2018-01-10,1107.0,1112.78,1103.98,1110.14,1027781.0
2018-01-11,1112.31,1114.85,1106.48,1112.05,1102461.0
2018-01-12,1110.1,1131.3,1108.01,1130.65,1914460.0
2018-01-16,1140.31,1148.88,1126.66,1130.7,1783881.0
2018-01-17,1136.36,1139.32,1123.49,1139.1,1353097.0
2018-01-18,1139.35,1140.59,1124.46,1135.97,1333633.0
2018-01-19,1138.03,1143.78,1132.5,1143.5,1418376.0
2018-01-22,1143.82,1166.88,1141.82,1164.16,1437954.0
2018-01-23,1170.62,1178.51,1167.25,1176.17,1832126.0
2018-01-24,1184.98,1187.05,1167.4,1171.29,1818182.0
2018-01-25,1180.71,1185.0,1171.84,1182.14,1398961.0
2018-01-26,1187.53,1187.56,1168.03,1187.56,1981476.0
2018-01-29,1188.0,1198.0,1184.06,1186.48,1533931.0
2018-01-30,1177.72,1187.93,1174.51,1177.37,1792602.0
2018-01-31,1183.81,1186.32,1172.1,1182.22,1643877.0
2018-02-01,1175.99,1187.45,1169.36,1181.59,2774967.0
2018-02-02,1127.42,1131.3,1111.17,1119.2,5798880.0
2018-02-05,1100.61,1114.99,1056.74,1062.39,3742469.0
2018-02-06,1033.98,1087.38,1030.01,1084.43,3732527.0
2018-02-07,1084.97,1086.53,1054.62,1055.41,2544683.0
2018-02-08,1059.87,1063.93,1004.7,1007.71,3067173.0
2018-02-09,1025.88,1051.72,997.0,1046.27,4436032.0
2018-02-12,1056.67,1065.57,1045.49,1054.56,2796258.0
2018-02-13,1050.0,1061.22,1046.92,1054.14,1574121.0
2018-02-14,1054.32,1075.47,1049.8,1072.7,2029979.0
2018-02-15,1083.45,1094.1,1067.23,1091.36,1806206.0
2018-02-16,1093.38,1108.31,1091.55,1095.5,1971928.0
2018-02-20,1092.76,1116.29,1090.0,1103.59,1646405.0
2018-02-21,1109.1,1136.2,1107.51,1113.75,2024534.0
2018-02-22,1119.17,1125.46,1105.15,1109.9,1386115.0
2018-02-23,1118.66,1129.0,1108.44,1128.09,1234539.0
2018-02-26,1131.86,1144.2,1129.34,1143.7,1489118.0
2018-02-27,1143.7,1144.25,1116.79,1117.51,2094863.0
2018-02-28,1122.0,1127.65,1103.0,1103.92,2431023.0
2018-03-01,1109.54,1111.27,1067.29,1071.41,2766856.0
2018-03-02,1057.98,1086.89,1050.11,1084.14,2508145.0
2018-03-05,1078.13,1101.18,1072.27,1094.76,1432369.0
2018-03-06,1102.1,1105.63,1094.5,1100.9,1169068.0
2018-03-07,1092.82,1116.2,1089.91,1115.04,1537429.0
2018-03-08,1117.2,1131.44,1117.2,1129.38,1510478.0
2018-03-09,1139.5,1161.0,1134.29,1160.84,2070174.0
2018-03-12,1165.05,1178.16,1159.2,1165.93,2129297.0
2018-03-13,1171.83,1178.0,1134.57,1139.91,2129435.0
2018-03-14,1145.8,1159.76,1142.35,1148.89,2033697.0
2018-03-15,1149.57,1162.5,1135.66,1150.61,1623868.0
2018-03-16,1155.35,1156.81,1131.36,1134.42,2654602.0
2018-03-19,1117.76,1119.37,1088.92,1100.07,3076349.0
2018-03-20,1098.4,1105.55,1082.42,1095.8,2709310.0
2018-03-21,1092.57,1108.7,1087.21,1094.0,1990515.0
2018-03-22,1080.01,1083.92,1049.64,1053.15,3418154.0
2018-03-23,1051.37,1066.78,1024.87,1026.55,2413517.0
2018-03-26,1050.6,1059.27,1010.58,1054.09,3272409.0
2018-03-27,1063.9,1064.54,997.62,1006.94,2940957.0
2018-03-28,1001.91,1024.99,984.0,1005.18,3884943.0
2018-03-29,1011.21,1048.05,1004.04,1037.14,3466876.0
2018-04-02,1027.62,1039.53,994.25,1012.63,3253387.0
2018-04-03,1016.15,1025.0,997.25,1018.68,2566146.0
2018-04-04,998.23,1032.74,996.51,1029.71,2536198.0
2018-04-05,1046.39,1046.71,1024.0,1032.64,1791761.0
2018-04-06,1023.1,1036.0,1006.25,1009.95,2006683.0
2018-04-09,1020.04,1044.59,1019.2,1020.09,1661012.0
2018-04-10,1030.26,1041.21,1015.41,1036.5,1836678.0
2018-04-11,1032.0,1035.87,1019.2,1025.06,1703015.0
2018-04-12,1031.47,1044.65,1026.05,1037.29,1644794.0
2018-04-13,1046.89,1052.98,1030.15,1036.04,1270461.0
2018-04-16,1045.55,1051.43,1033.92,1046.1,1488822.0
2018-04-17,1061.2,1085.0,1057.09,1079.36,2729197.0
2018-04-18,1079.01,1082.0,1070.52,1075.39,1556298.0
2018-04-19,1069.02,1097.51,1069.02,1089.45,1994247.0
2018-04-20,1084.27,1094.75,1072.1,1077.32,2121692.0
2018-04-23,1082.98,1088.0,1066.68,1073.81,3479496.0
2018-04-24,1059.2,1064.49,1012.86,1022.64,6411038.0
2018-04-25,1029.75,1036.07,1017.01,1022.99,2893047.0
2018-04-26,1033.22,1052.02,1020.45,1043.31,2546332.0
2018-04-27,1045.54,1051.7,1027.59,1031.45,2037263.0
2018-04-30,1034.42,1038.37,1018.3,1018.58,1724632.0
2018-05-01,1016.3,1041.73,1010.61,1040.75,1766256.0
2018-05-02,1034.0,1043.98,1023.16,1026.05,1734872.0
2018-05-03,1025.37,1030.69,1007.89,1026.3,1964066.0
2018-05-04,1019.61,1051.88,1018.05,1051.0,1844600.0
2018-05-07,1053.89,1065.0,1050.27,1059.46,1719971.0
2018-05-08,1064.62,1065.23,1051.64,1058.59,1301524.0
2018-05-09,1064.1,1094.0,1062.11,1088.95,2357979.0
2018-05-10,1095.0,1109.41,1093.88,1105.47,1820676.0
2018-05-11,1100.41,1109.01,1097.22,1103.38,1525218.0
2018-05-14,1105.57,1118.15,1104.8,1106.6,1966893.0
2018-05-15,1096.9,1099.12,1078.78,1084.87,1786926.0
2018-05-16,1085.09,1094.38,1081.63,1084.09,1281406.0
2018-05-17,1081.46,1091.0,1076.42,1081.26,1286907.0
2018-05-18,1066.0,1073.73,1064.68,1069.64,1774149.0
2018-05-21,1079.0,1093.3,1078.0,1084.01,1258999.0
2018-05-22,1089.8,1091.8,1072.26,1075.31,1111299.0
2018-05-23,1070.0,1088.0,1066.96,1085.96,1186998.0
2018-05-24,1086.9,1087.12,1072.3,1085.45,1030194.0
2018-05-25,1086.55,1089.57,1082.6,1084.08,1111161.0
2018-05-29,1076.0,1081.34,1063.08,1068.07,1803805.0
2018-05-30,1073.48,1078.99,1066.55,1077.47,1434282.0
2018-05-31,1082.0,1110.0,1078.0,1100.0,3968362.0
2018-06-01,1112.87,1138.16,1112.01,1135.0,3160100.0
2018-06-04,1138.5,1157.86,1137.0,1153.04,2237701.0
2018-06-05,1154.66,1161.1,1147.46,1151.02,1648222.0
2018-06-06,1152.77,1154.71,1136.32,1146.95,1746719.0
2018-06-07,1144.58,1145.87,1126.12,1134.42,1805388.0
2018-06-08,1131.21,1138.78,1123.23,1132.71,1364226.0
2018-06-11,1132.94,1147.74,1131.4,1140.9,1239770.0
2018-06-12,1141.02,1148.75,1141.02,1148.19,1304612.0
2018-06-13,1152.28,1155.64,1143.38,1144.23,1715074.0
2018-06-14,1152.21,1165.99,1150.6,1160.11,1771120.0
2018-06-15,1159.92,1163.91,1153.69,1159.27,2221891.0
2018-06-18,1152.69,1184.13,1151.0,1183.58,1651913.0
2018-06-19,1170.11,1182.81,1161.61,1178.69,2364127.0
2018-06-20,1183.3,1201.49,1182.03,1184.07,2584260.0
2018-06-21,1185.51,1190.33,1163.48,1169.44,2248277.0
2018-06-22,1171.49,1175.0,1159.65,1169.29,1711003.0
2018-06-25,1155.0,1155.99,1119.9,1139.28,2884131.0
2018-06-26,1144.14,1146.87,1129.0,1132.62,1734414.0
2018-06-27,1136.0,1146.21,1116.7,1116.94,1726866.0
2018-06-28,1112.39,1134.0,1106.07,1126.78,1486675.0
2018-06-29,1132.31,1141.36,1127.02,1129.19,1578116.0
2018-07-02,1115.35,1142.99,1106.6,1142.11,1161040.0
2018-07-03,1149.42,1149.91,1114.43,1116.28,822394.0
2018-07-05,1124.6,1144.14,1123.12,1141.29,1429710.0
2018-07-06,1141.77,1156.2,1137.24,1155.08,1090967.0
2018-07-09,1160.0,1167.93,1157.23,1167.28,1079201.0
2018-07-10,1169.99,1173.5,1162.56,1167.14,1066704.0
2018-07-11,1155.62,1180.44,1155.37,1171.46,1662633.0
